Yorum,Duygu
Çok güzeldi çok memnun kaldım 20 dakikada adresimde oldu teşekkür ederim.,Olumlu
Yemek olsun saygı olsun düzen olsun her şekilde muazzam ve başarılı benn çok beğendim ve kuryeniz gerçekten çok saygılı birisi 10 dan yüksek puan olsa ona verirdimm.,Olumlu
Lütfen ayrı koyduğunuz siyah paketli ıslak mendilinizi değiştirin. Paketin içini garip bir koku sarıyor. İlk siparişimde kokunun ondan kaynakladığını farkedemedim ama ikinci siparişimde mendili kullanınca kesinlikle ondan geldiğini farkettim. Kavun gibi ama bir süre sonra çok kötü bir koku bırakıyor.,Olumlu
Sıcak ve özenli dağıtım her zaman buradan alacağım ayrıca ustanın ellerine sağlık.,Olumlu
Güzel.,Olumlu
Üçgen peynir kadar kek ile 20 gr ı tavuk olan 350 gr tavukumsu pilav söyledim. Kesinlikle tavsiye etmiyorum.,Olumsuz
"Lezzetli tavuk pilav, kaşık peçete yok, sıcak geldi.",Olumlu
Pilavın tadı tuzu yoktu bir saate geldi.,Notr
Pilav tavuk tazeydi ancak tavuk pilava göre daha azdı belki biraz daha bol olursa güzel olur. Kuryeci arkadaş çok samimiydi.,Olumlu
Kibar ve güleryüz.,Olumlu
İçinde deri çıkmasın dediğim halde 2 parmak büyüklüğünde 2 adet deri çıktı artık döner yemem ne burdan ne başka dönercidem rezalet.,Olumlu
"Hızlı geldi, kurye beyefendiservis güzelpatatesler plastik gibi garip de bir kokusu vardı yiyemedim. Döner de soğan çok fazlaydı.",Olumlu
Lezzetten ziyade motorcu kardesimin davranisi hareketleri nezaketi mekan sahibi gibiydi o kadar işine bağlı bir kardesimizdi helal olsun keşke herkes bu sekil olsa.,Olumlu
Yemekler ve ilgi çok iyi tavsiye ediyorum. Çok teşekkür ederim.,Olumlu
Siparişim 10 dakikada adresime ulaştı sıcak ve lezzetli.,Olumlu
Çok lezzetli ve doyurucuydu teşekkür ederim.,Olumlu
Efsane gerçekten cok beyendim ellerinize saglik.,Olumlu
Kokoreç gerçekten çok güzeldi.,Olumlu
Kokoreç yerine ekmek yedik.,Notr
"Bahcesehirde ki en iyi kokoreç, eline sağlık ustasının.. Midye dolma da çok taze ve lezzetli.",Olumlu
10 numara hem kokoreç hem midye teşekkürler.,Olumlu
Çok lezzetliydi fakat kokoreç biraz fazla yağlıydı.,Olumlu
Uzay kokoreç sipariş ettim gayet başarılıydı. Beğenmeyen neyi beğenmemiş merak ettim. Uzaydan gelmesini mi bekliyordu ya da elon musk mı siparişi teslim edecekti..,Olumlu
Üzülerek söylemem gerekirse soğuk geldi nerdeyse kokareç.,Olumlu
Her zamanki gibi muhteşem.,Olumlu
Çok kötüydü insan bunu getirmeye utanır.,Olumlu
Siparisim gayet hizli eksiksiz ve sicak geldi. Kurye arkadasa tesekkurler paketlemede cok duzgun ve ozenli. Yemek desen zaten diyecek birsey bulamiyorum uzay bir harika midye dolmalar taze ve kumsuz baharati tam olmasi gerektigi gibi. Yapanlarin eline saglik. Bahcesehirdeki favori kokoreccim.,Olumlu
Çok beğendim lezzetliydi ve sıcak geldi çok teşekkür ederim.,Olumlu
Uzay kokoreç istedim bu geldi.,Notr
Midye ve kokoreç harikaydı bayıla bayıla yedik. Sucuk ekmekteki sucuk azdı bir tek. Ellerinize emeğinize sağlık.,Olumlu
"Yaa şu kokereci yiyipte beğenmeyen de ya hiç kokorec yememiş yada kötü niyetli, midye ortalama belki ama kokoreç enfes, yine çok hızlı çok sıcak ve bol bol, sevgilerimi sunuyorum abicim gökhan ben bu arada hayırlı işler diliyorum boyle devam bahçesehirde teksin.",Olumlu
Notlara az yağlı yazmayı unuttum ama çok güzeldi.,Olumlu
Pandemiden önce haftada 2-3 sefer akşamları uğrak yerimdi. Bahçeşehirin de en iyisi... Birde midye olsaydı ufff.,Olumlu
Elinize sağlık çok güzeldi.,Olumlu
Kokoreç çok güzeldi. Çok beğendik. Sebzesizdi sanırım. Jest yapmışsınız.,Olumlu
Halim bey galiba bu işlerden en iyi anlayan kuryeci.,Olumlu
Her zaman super ellerinize saglik.,Olumlu
"Midyesi gayet kaliteli. Kokoreçi de genel olarak beğendim ama yarıdan fazlası yağ koyulmuş, çok fazlaydı. Servis ve hız çok çok iyi.",Olumlu
Usta mı değişti?,Olumlu
Servis hızlıydı. Sıcak geldi ama lezzeti bu sefer olmamıştı.,Olumlu
Nice.,Olumlu
Kokoreç çok lezzetli 3/4 ekmek söyledim içi full doluydu. Notlar dikkate alinmisti. Ufak bir sorun yaşadık işletme sahibi bizzat kendi ilginerek aradi mahduriyetimi giderdi memnun etti. Kendisine tekrar teşekkür ediyorum.,Olumlu
Pul biber ve kekik aşırı fazla atılmıştı.,Olumlu
İyiydi.,Olumlu
"Hız normal. Bir üç çeyrek izmir, bir yarım sebzeli istedim iki adet aynı boy sade geldi. Ancak izmir kokoreç iri kıyım olur bana gelenler baya doğranmıştı. Midyesi lezzetli. Pandemi dönemi olmasa çok daha düşük puanlar verirdim.",Olumlu
Nice.,Olumlu
Başarılı bir kokoriç.,Olumlu
Lezzet hız her şey çok iyiydi hele küçük tatlı ikramı mükemmeldi tek eksik lavaş olmaması haricinde her şey çok iyi.,Olumlu
Çok lezzetliydi teşekkürler..,Olumlu
Tatlı ikramı için teşekkür ederim :) lezzetli ve hızlıydı.,Olumlu
Çok lezzetliydi. Teşekkür ederim.,Olumlu
Berbattı.,Olumsuz
Bu sefer biraz begenmedim hamur gibiydi pide. Ama fena değil.,Olumlu
"Sıcak, temiz ve lezzetli. Bölgenin iyisi. Tatlı ikramı için teşekkürler.",Olumlu
Mükemmel.,Olumlu
Mükemmel.,Olumlu
Çok güzeldi.,Olumlu
Elinize sağlık gerçekten çok hızlı geldi birde plastik kaşık ve çatal yollarsanız çok iyi olur.,Olumlu
Lezzetliydi gerçekten sadece içinde kıvırcık ve biber olsa daha güzel olurdu tatlı aşerdigim için sütlaç a bayıldım 10 tane daha olsa yiyebilirdim.,Olumlu
Yorumlara aldanıp sipariş verdim. İşkemce çorbasının işkembeyle alakası yoktu içinden 3-4 parça işkembe vardı ve yanında sirke ve limon olmasını bekliyordum kokoreçi ne beğendim ne beğenmedim ortası.,Olumsuz
Herşey bekledigimden iyiydi ).,Olumlu
Ellerinize sağlık tatlı için çok teşekkür ederiz.,Olumlu
Mükemmel.,Olumlu
Ayran söylemiştim parasını verdim ayran gelmemiş.,Olumsuz
"Süre iddia eden çoğu pizza markasından daha hızlı bir şekilde sipariş geldi. Hamburgerin tadı güzeldi, sodayı eksik göndermelerinden dolaylı servisten iki puan kırdım.",Olumlu
Lezzeti beğenmedim.,Notr
Çok güzel.,Olumlu
Kokorec cok guzeldi.,Olumlu
Gayet güzeldi.,Olumlu
Ürünleri çok beğendik sıcak geldi ve lezzeti muazzam her zaman kullanacağız.,Olumlu
Çok lezzetliydi herşeyi teşekkürler.,Olumlu
Gayet mükemmel.,Olumlu
Kurye çok güler yüzlü ve beyefendiydi iş yerini arayıp saat bildirdim ve birşeyler eklemelerini rica ettim sağolsunlar kırmadılar ve çok anlayışlı olsular. Teşekkürler lezzetli de.,Olumlu
Güzeldi teşekkürler.,Olumlu
Çok güzel.,Olumlu
Tşkler.,Olumlu
Dünkü verdiğim sipariste hem colam gelmedi hemde mercimek çorbası taşmış ve yarışı poşete dökülmüştü yinede bişey demedim bida sipariş vermem iyi günler keşke foto cekseydin yeni ozelkk gelmiş görmedim kanıt olurdu neyse hayırlı işler.,Notr
Tatlılardan biri ekşimişti ama diğeri harikaydı.,Olumlu
Aldığım bütün ürünler birbirinden taze ve birbirinden lezzetliydi. Herkese tavsiye ederim.,Olumlu
Harikasınız süper.,Olumlu
Tatlılar acayip güzeldi tazeydi bitter çikolatalı baklavaya tıralice ye bayıldık ellerinize sağlık.,Olumlu
Baklavaların bazıları taze değildi.,Olumlu
Sürekli müşterisiyiz. Her tatlısı ayrı güzel ve hızlarına diyecek yok.,Olumlu
30 dakikalık yazan servis suresi bir buçuk saat olarak değiştirilmeli çünkü tam bir buçuk saat boyunca siparişimi bekledim sütlü nuriye ve profiterol söyledim ikiside çok lezzetli fakat siparişim aşırı geç geldi.,Notr
Önceki siparişimizde sütlü nuriyenizi sevdiğimiz için bu sefer 1 kiloluk sipariş verdik. Gelen sütlü nuriyede süt tadı bile yok ayrica üstünde fındık parçalarindan 1 toz parcasi bile yok ayıp.. (önceki sütlü nuriyenin rengi bile beyazdı findik parcalari doluydu.. ).,Olumsuz
10 numara.,Olumlu
Halka tatlı bayat eski yollamışlarsultan sarma ceviz tozu koymuşlar ceviz yokşekerparedeki yumurta kokusundan yiyemediksağolsun lar 1 2 parça yedik bütün aile kaşındı ne yağı kullandılar sa artık tavsiye etmem berbattı.,Olumsuz
Çok şerbetli sonradan tatlının üstüne şerbet dökülmez.,Olumlu
Harikasınız bravo.,Olumlu
"Tulumba tatlısı çok iyi, şam tatlısı orta, sütlü nuriyesi iyi, özel antep baklavası çok iyi.",Olumlu
Baklava güzeldi sütlü nuriye hamurdu.,Olumlu
Çok begeniyoru ailecek fıstıklı sobiyetin hastasiyiz.,Olumlu
Berbattı. Bayat ve kuru baklava istemiştik bildiğin şerbet içinde yüzüyordu. Paranıza yazık almayın.,Olumsuz
"Teşekkür ederiz, zamanında ve güzeldi.",Olumlu
1 saate geldi şerbeti ağırdı.,Olumsuz
Servis olarak muhtesem lezzet okadar guzel degil akşam sipariş verdik sanki buzdolabindan cikartmislar mikroda isitip yollamislar donuk seker tadi vardi ben kendim icin saglikli bulmadim birdaha siparis vermem kesinlikle herkezin lezzeti farkli.,Notr
10 numara.,Olumlu
Alışkanlık oldu :d.,Olumlu
Teşekkürler. Çok lezzetliydi.,Olumlu
Güzeldi. İkram içinde teşekkürler.,Olumlu
"Tşk ederim taze ve tadı yerindeydi, teslimat 10 dk.",Olumlu
Tüm ürünleriniz çok taze ve lezzetli kuryelerinizde bi o kadar kibar vede güler yüzlü bi işletmenin bir kusuru olmaz mı? Müthişsiniz tebrik ediyorum sizi.,Olumlu
Çavuş ustadan sipariş verirken bı taktik geliştirdim akşamları tam 20:00da sipariş veriyorum yada 20:30da gelen baklava bildiğin sıcak geliyor baklava o saatlerde taze cikiyo her hafta mutlaka söylüyorum her söylediğimde taze ve sıcak baklava geliyor avcılar içinde böyle taze baklava bulunmaz.,Olumlu
Lezzetli baklavalar her zaman severek sipariş veriyoruz. Dondurması kesinlikle denenmeli.,Olumlu
"Sizin gibi esnaf olmak kolay değil anlayışlı, saygılı ve işini severek yapan personelleriniz var tatlılarınızda bi okadar güzel kaliteli. Tebrik ediyorum sizi cidden ellernize sağlık 1 numarasınız.",Olumlu
Yok boyle bir şeyçok iyi di teşekurler.,Olumlu
Lezzet hizmet herşey dörtdötlük teşekkürler.,Olumlu
Herşeyiyle çok iyi. Tavsiyedir.,Olumlu
Patso çeşitleri çok güzel. Hızlı ve sıcak geldi. İşletmeci beyefendi yaşadığım olumsuzluğa çözüm sundu ve memnuniyet sağladı. Teşekkür ederim.,Olumlu
Tavuklu patso on numaraydı. Karışık sanayi tost menüde ayran gelmedi. Eksik ayrandan dolayı 5 verdim. Sipariş de gayet hızlı geldi.,Olumlu
Güzeldi.,Olumlu
"Hamburger kokuyordu, açıklama falan yazmayın hiçbirini dinleyen yok zaten, ben olsam sipariş vermem bir daha, karar sizin.",Olumsuz
Abi ıslak hamburgerlerde sıkıntı var cok agir kokuyo iki tane siparis vermistim ikisinide attim tavuk sandvic güzel ve ici doluydu.,Olumlu
Guzeldi.,Olumlu
Çok iyiydi. Burger çok doluydu zor ısırdık.,Olumlu
Güzeldi ama ketcap mayonez yanına koyulsa iyi olr.,Olumlu
Güzeldi.,Olumlu
Gercekten mukemmeldi hersey ellerinize sağlık cok guzellerdi ve doyurucu fazlasinin fazlasi vardi favori mekanimiz oldunuz simdiden.,Olumlu
Gayet güzel 20 dakika da geldi. Beğendim.,Olumlu
Yediğimiz ilk günden beri müptelasıyız.,Olumlu
Lezzetli.,Olumlu
Fiyat lezzet karşılaştırması yapsam yediğim en iyi hamburgerdi.,Olumlu
Hızlı ve lezzetli.,Olumlu
Canın patso çektiyse buradan ye en iyisi burda süper ötesi.,Olumlu
İlk defa sipariş ettim sıcacık geldi patso sandivic lezetliydi.,Olumlu
Hem ucuz hem 10 numara yiyecekler yeni adamım siszsiniz.,Olumlu
Tıka basa doldurmuşlar çok güzel olmuş.,Olumlu
Güzel.,Olumlu
"Hızlıydı, kumru da güzeldi. Ama kajun kötüydü.",Olumlu
Güzel.,Olumlu
Muazzam.,Olumlu
Patatesler cok yag cekmıs.,Olumlu
Tadında keyifli.,Olumlu
Hızlı ve sıcacık geldi işi biliyorlar paketleme iyi.,Olumlu
Gerçekten şu ekmek arası çıtır tavuklara bayılıyorum.,Olumlu
Menünün yanında ayrqn vardı göndermemişler artık abajur benim için bitmiştir.,Olumsuz
İki kutu patates söyledik çok fazla baharatlı ve azdı.,Notr
Başarılı.,Olumlu
Getiren arkadaş yemegi maf etmiş hepsi birbirine girmiş dağılmiş ve soğuktu.,Notr
Ortalama.,Notr
On numara.,Olumlu
"Cheap, fast, yummy!",Olumlu
"40-50 dakika arasında gelmesi gerekirken, kurye abimiz o yağışlı havada kaza yapmış ve sırılsıklam olmasına rağmen siparişimizi getirdi. Kendisine tekrardan geçmiş olsun dileklerimi iletim. Sağlıkla kalın.",Olumlu
Tadı güzeldi biraz soğuktu 1 saatte geldi ama karda kışta bu kadar olur.,Olumlu
Muhteşemmm. Şimdiye kadarki yediklerim içinde en iyisi diyebilirim.,Olumlu
8 adet dbl hamburger söyledik patates soğuktu bütün köftelerin hepsi yanmıştı.,Notr
Patatesler biraz yumuşamişti ve hamburger koftesi birazcik fazla kizarmisti onun disinda hersey mukemmeldi.,Olumlu
Burger epey güzeldi ancak patatesler birazcık yumuşamıştı. Bunu gidermek için delikli kutu kullanmanızı tavsiye ederim. Restoran bana çok yakın olmasına ramen 35dkda falan geldi. Ama ortalama servsis süresini 20-30dk belirledikleri için çok sorun değil. Fiyatını sonuna kadar hak ediyor.,Olumlu
Missing items.,Olumlu
"Hız ilk siparişe göre düşmüş, ilk siparişte yollanan bir sürü sosun hiçbiri yoktu ketçap mayonez dışında, onun dışında piyasaya göre eti güzel kaliteli burgerlerden.",Olumlu
"Hızı gerçekten on numara tat, servis, hepsi çok iyi.",Olumlu
1 saatte geldi geldiginde ise buz gibiydi hic bir tat alamadim ve patatesler lastik gibiydi.,Olumsuz
"Hamburger köftesinin içinde kırt kırt parçalar vardı. Çiğnenmesi mümkün değildi. Yabancı madde değil ama etim bir bölümş sanırım bilemiyorum. Parateslerin dışı yanık, içi pişmemişti ayrıca çok soğuktu. Gayet hızlı geldi ayrıca kurye de çok kibardı. Belki bana denk gelmiştir, şans verilebilir.",Olumlu
Mükemmel.,Olumlu
Elinize sağlık.,Olumlu
Elinize sağlık.,Olumlu
En iyi hamburgercilerden biri. Selamlar.,Olumlu
Oldukça hızlı ve lezzetliydi teşekkürler.,Olumlu
Teşekkürler.,Olumlu
Harika ötesi.,Olumlu
Çok hızlı geldi lezizdi.,Olumlu
Yine mükemmeldi.,Olumlu
Patatesi koklatmışsınız sadece.,Notr
"Bu fiyata bu lezzet efsane umarım hep böyle devam eder, sadece mola sürelerimiz kısıtlı daha hızlı elimizde olsun isteriz ama yine de hızlı geldi.",Olumlu
Ellerinize saglık.,Olumlu
Çok beğendim cheeseburgeri. Bozmayın lütfen. Fiyatı da çok iyi.,Olumlu
İlk defa sipariş verdim paketleme güzel hız da oldukça makul. Lezzet konusunda bir puan kırdım çünkü eti çok fazla pişmişti ama lezzeti güzeldi hafif bazı yerleri kömür olmuştu. Bir sonraki siparişte bunu nota ekleyeceğim.,Olumlu
Güzel.,Olumlu
Et biraz kuruydu onun dışında gayet iyiydi.,Olumlu
Gozunuzu kapatin siparis verin. Bu arada yogurtluyu deneyin baya da bol koyuyorlar.,Olumlu
Ama porsiyonlari az.,Olumlu
Hıza 11 bile verilir. Siparişi verdikten sonra telefonu sehpaya koymadan kapı çaldı. Valla bravo :).,Olumlu
Büyüklüğü gayet tantuni için normal fakat et olarak çok sertti bana mı denk geldi bilmiyorum 1kez daha sipariş vereceğim.,Notr
Güzeldi.,Olumlu
Tantuni çok küçük porsiyon ama lezzetli.,Olumlu
Lezzetli fakat son zamlar fazla olmuş. Kurye arkadaşa ayrıca teşekkürler.,Olumlu
Güzell.,Olumlu
Porsiyon iyice küçülmüş fiyatı çok artmış diyeceklerim bu kadar teşekkürler.,Olumlu
Çok küçük dürümler.,Olumlu
Gerçekten çok güzel.,Olumlu
Tavuk tantunisinin tavukları biraz kuru gibi kalmıştı. Servis hızlıydı. Lezzetini seviyoruz.,Olumlu
Lavasi unonun hazir lavasi gibiydi biraz kalin ve cok tuzlu. Cok sevemedim.,Olumlu
Harikasınız.,Olumlu
Özellikle kurye arkadaşa tşk ederim. Lezzet ve hız olarak bence civardaki en iyi tantunici sizsiniz.,Olumlu
Rezalet.,Olumsuz
Vay be patso gerçekten güzeldi çok beğendik. Tantunicide patso keyfi başkaymış.,Olumlu
Hocam 2 şer tane yedik ama doymadık anlamadım ama tadı çok güzel.,Notr
Yoğunluk nedeniyle hemen yapılan bilgilendirmeye teşekkür ederim. Siparişte şekersiz kola istemiştim normal gelmiş çok önemli değil. Lezzeti ise inanılmaz derecede güzeldi. Ellerinize sağlık kolay gelsin.,Olumlu
Gayet iyi.,Olumlu
Sıcak ve lezzetli geldi elinize sağlık.,Olumlu
Yine çok iyiydiniz elinize sağlık.,Olumlu
Hiç tantuni tadı alamadık ne lavaşta ne ekmek arasında lezzet iyi değil hız servis güzel.,Olumlu
Lezzet güzeldi ama lavaşlar için aynı şeyi söyleyemeyeceğim lavaşın kalitesizliği lezzete gölge düşürüyor.,Olumlu
İdare eder.,Olumlu
Lavaşları çiğ köfte lavaşı gibi.,Olumlu
Çok iyi.,Olumlu
Kiloluk tavuk kanat der susarım... Yok böyle bir lezzet.,Olumlu
Kesinlikle tavsiye ederim.,Olumlu
"Servis istediğim halde servis gelmemişti ve yemeği yiyemedim. Gelen lavaşla ofisin ortasında yemeye çalıştım, tadını bile alamadım.",Notr
"Yorumları okuyarak aldım, ancak deneyimimden memnun kalmadım. Siparişim çok geç geldi, haliyle soğuktu. İndirimli ürün aldım, içine adana diye fısıldamışlar diye düşünüyorum, indirimli olduğu için küçüktür deyip 2 tane söyledim ama up uzun gösterişli lavaşın içi neredeyse bomboştu. Üzdü.",Olumsuz
Adamsınız.,Olumlu
10 numara servis çok hızlı geldi.,Olumlu
Köftesi çok iyi.,Olumlu
Guzel.,Olumlu
Aşırı memnun kaldım çok teşekkür ederim.,Olumlu
Teşekürler.,Olumlu
Çok hızlı geldi.,Olumlu
Adamlar öyle bir menü yapmışlar ki hatay medeniyetler sofrası çok iyi cooook iyiii(kurye çok samimiydi normalde hepsine 9 puan ama sırf bundan dolayı hepsine 10).,Olumlu
"Lezzetli ve hızlı geldi. Kurye deniz abi çok kibardı, teşekkürler.",Olumlu
"Uzun zamandır yemeksepeti kullanıcısıyım, bu kadar dolu tabak bir tavuk şiş görmedim, lezzeti de çok iyiydi. Sizin gibi işletmelerin artması dileğiyle, hayırlı işler.",Olumlu
"Alüminyum tabakta gelen kebap her zaman daha iyidir, ustanın ellerine sağlık porsiyonlar doyurucu, yanındaki soğanından tut közlenmiş domatesine her şey lezzetliydi, ayrıca yanında gelen çiğ köfte ikramı için de teşekkür ederim, kurye de gayet hızlı geldi ve nazikti. Çok güzel hizmet tebrik ederim.",Olumlu
"Geç geldi yaklaşık 40 dk da, yemeğin faturası fişi gelmemişti istedim getiririz dediler, daha öncede burdan bir kez sipariş verdik o zamanda faturası gelmemişti. Lezzetini de bulgur pilavı fena değildi yiyecekler soğuktu, tavuklar yanmıştı, ciğer şişler çok soğuktu tadı hiç yoktu.",Notr
Her zaman ki gibi.,Olumlu
Sıcak düzgün özenli geliyor. Porsiyonlar da makul. Çöp şiş dürüm çok başarılı ama beyti malesef soğuk geldi ve eti sarmalarin ebadiba göre ufakti.,Olumlu
"Kurye abitr afiğe takıldığını arayıp bilgilendirdi. Dünya hali, empati yapmalı... Ayrıca böyle bir gecikmeye rağmen yemeğimiz hala sıcaktı. Tadı da gayet güzeldi, emeği geçen herkesin eline sağlık. Kurye abi sen de yollarda dikkat et kendine, varsın 2 dakika geciksin yemekler, sana bir şey olmasın.",Olumlu
Teşekürler.,Olumlu
"Alinazik güzeldi. Salatalar memnun edici. Kurye arkadaş yoldayken birazdan kapıda olacağını iletti, karşılıklı zaman kazandık :).",Olumlu
Teşekkürler.,Olumlu
Kalite...,Olumlu
Adana durum guzeldi.,Olumlu
Lahmacun 13 tl olmuş çok fazla son siparişler hep geç geliyor ve soğuk eski si gibi hızlı sıcak lezzetli olmasını bekliyorum bu fiyatlarla daha az sipariş veririz artık.,Notr
Harikasınız. Her şey fazlasıyla güzeldi. Ellerinize sağlık ve müthiş hızlı servisti.,Olumlu
"Mükemmel, çok lezzetli! İndirimli almıştım, paranın hakkını kesinlikle verdi. Elinize sağlık! :).",Olumlu
Beğendim.,Olumlu
Beklentimin çok üstünde bir sipariş. Lezzeti garnitürü doyuruculuğu fiyatı ile herşey harika. Tereddüt etmeden tercih edebilirsiniz.,Olumlu
İyiydi.,Olumlu
Beğenmedim.,Olumsuz
Bomba çok iyi ozellikle beyaz kremalı.,Olumlu
Çok lezzetli. Hızlı getirdiler teşekkürler.,Olumlu
İstanbuldaki en iyi boyoz.,Olumlu
Tek kahvaltı adresim diyebilirim harikaydı elinize saglık.,Olumlu
"Söğüş iyiydi, ekstra reçel ve üçgen peynir de gönderilmişti.",Olumlu
İzmirde bile boyle guzel cesıtler yememiştim.,Olumlu
Her seferinde hep 15 dakikada gelmiş oluyor ve hep sıcak ve taze. Düşük puan ve kötü yorum yapan insanlar wow to your first world problems.,Olumlu
"Siparişimiz eksik geldi. Menü çok çeşitli olduğu için heyecanla verdiğimiz siparişimiz hayal kırıklığıyla sonuçlandı, umduğumuz lezzeti bulamadık.",Olumsuz
"2 kişilik kahvaltıya domates peynir salatalık tabağı tek konulmuştu. Havalar soğuk olduğu için menemen de boyozlar da börek de yumurta da buz gibi geldi. Paketin ısı yalıtımlı muhafazada gelmesi lazım. Onun dışında lezzet yerindeydi. Hızlı geldi, tazeydi.",Olumlu
Harikaydı!,Olumlu
Gayet başarıliydı elinize saglık kurye arkadaşda hijyen kurallarına uygun şekilde teslim yaptı.,Olumlu
Hakkını veriyorlar guzeldı.,Olumlu
Boyozculuk kazanacak.,Olumlu
"Gayet lezzetli, ama çok geç geldi.",Olumlu
"Kahvaltıda sipariş verdim, öğle yemeğinde geldi. Ama lezzetliydi.",Notr
3 peynirli ve kavurmalı inanılmaz iyisimit tabağı daha güzel olabilir.,Olumlu
Oldukça yavaş geldi maalesef ama bu seferlik puan kırmak istemedim.,Olumlu
"Ikram gondermediler, uzduler.",Olumlu
Zam ne ya.,Olumlu
Efsaneee.,Olumlu
Menemen yapmayı acilen bırakmalısınız... Boyozdan devam edin menemeni menemencilere bırakın lütfen.,Notr
Harika gercekten.,Olumlu
"Meyve sularımız eksik gelmişti, peçete vs yoktu bir sonraki siparişte telafi ederseniz seviniriz. Boyozlarınız çok lezzetli ve çıtır çıtır. Ellerinize sağlık.",Olumlu
Cok guzel bence aksini iddaa edenler yatacak yeriniz yok.,Olumlu
Mükemmel elinize saglık.,Olumlu
10/10/10.,Olumlu
Hersey harikaydı.,Olumlu
Allah affetsin rezalet birşeydi asla söylemeyin ne tavuğu ne patatesi nede hızı asla tavsiye etmem özellikle gece söylemeyin.,Olumsuz
Tatlı ekşi tavuğun hiç tdı yoktu tatsız tuzsuz lezzet sıfır.,Notr
Lezzet harika servis mükemmel kurye güler yüzlü işinizi ciddiye aldığınız teşekkür ederim esnaflık budur.,Olumlu
Özenle hazırlanılmış ve lezzetli bir yemek oldu benim için. Çıtır tavuk çeşitlenebilir belki kanat ve but da eklenerek. Kuryesiyle birlikte memnuniyet verici bir işletme. :).,Olumlu
"Ellerinize sağlık herşey çok güzel, sadece acılı tavuk biraz daha acılı olabilir ama yinede hepsi enfes.",Olumlu
"Tatlı acılı ekşili tavuk ( burger değil! ) siparişimin görselini paylaşınca, hemen siz de isteyeceksiniz. Sakın haaaaa...",Olumsuz
"Malesef çok geç geldi muhtemelen bir sorunla karşılaştılar. Servis kalitesi çok iyi, yemek lezzeti çok iyi, pişirme derecesi çok iyi,.",Olumlu
Siparisi getiren gence sonsuz tesekkurler. Nezaketi takdire sayan. Pizzanin lezzeti de guzeldi.,Olumlu
Çok hızlı ve sıcak geldi paketleme servis de çok iyiydipatatesler çok çıtırdı lezzetliydi.,Olumlu
Kuryeye çok teşekkür ederiz. Saygılı ve işini iyi yapan biri. Burgerlar da güzeldi.,Olumlu
Kuryeniz çok kibar çok efendiydi azat ismi sipariş çok hızlı geldi servis lezzet hepsi süper teşekkürler.,Olumlu
Her şey gayet güzeldi. Kurye azad beye özellikle teşekkürler.,Olumlu
Keşke notuma istinaden gönderim sağlasaydınız p. Kızarması ve amerikan salatası yerine yeşillik istedim ama anladığım kadarıyla notu okumadan gönderiyorsunuz lezzetinize istinaden puanladım ve 20-30 dk süreyide geçirdiniz kuryelerin yoğun olduğundan kuryedeki arkadaşın hızını düşürmedim.,Olumlu
"Her şey iyi güzel de bir de siparişim doğru gelseydi daha güzel olacaktı. Ekşi tatlı soslu tavuk sipariş vermiştim ama hamburger yollamışlar, aç olduğum için ve ödemeyi online yaptığım için geri yollamak istedim. Yine de teşekkür ederim.",Olumlu
Paketlemesi herşeyi çok fazla özenli ve güzeldi kuryede hızlıydı yalnız tavuklar çok mu kuruydu biraz fazla yağada kızarmış sanırım.,Olumlu
Efsane bir lezzetti bitmesin diye yavaş yedim. Bir daha sipariş vericem. Temizliği ve hijyeni gayet başarılı.,Olumlu
Herzamanki gibi muhteşemm.,Olumlu
Muhtesem kesinlikle tavsiye ediyorum tam kivaminda pisiriorlar supersiniz han tavuk.,Olumlu
Baharat çok tuzlu.,Olumlu
Çok iyiydi elinize sağlık.,Olumlu
Kori soslu tavuk sipariş verdim ama 2 lokma tadina baktim sonra çöpe attim ne rus salatisini beğendim nede korisini nede tavuğunu 36 tl çöpe attik yani buda bana ders oldu bidaha yemek sepetinde bu tür yemekler sipariş asla vermem pizza hamburger dışinda bence yemek siparisi vermeyin.,Notr
Daha doyurucu olabilir.,Olumlu
Hızlı geldi ama çatal kaşık yoktu içinde. Dert değil çok beğendim.,Olumlu
Dedikleri saat içerisinde sıcacık getirdikleri için çok teşekkür ederim.,Olumlu
Tavsiye ederim başarılı.,Olumlu
Ellerinize sağlık pişme düzeyi tadı gerçekten iyiydi teşekkürler.,Olumlu
Çok lezzetli çok güzeldi ellerinize sağlık yeni siprişlerde görüşmek üzere.,Olumlu
Buz gibi geldi ve 2 saat sonra geldi bişeye benzemiyordu.,Olumsuz
Harika bir lezzetti hem hızlı hemde sıcak geldi.,Olumlu
Hızlı ve lezizdi.,Olumlu
Herşey güzel ama soğuk gelmesi güzel değil.,Olumlu
Lavaş intihar komandosu gibi. Mideye gideceğini anlayınca kendini imha ediyor.,Notr
Kurye güler yüzlüydü.,Olumlu
Çamur yemek isteyen arkadaşlar rahatça sipariş verebilirsiniz! Birde 1lt kolamı getirmemeleride çok iyiydi! İlk ve sondu sizden sipariş vermek.,Olumsuz
Patates kızartmalarımız gelmedi...,Olumlu
Hızlı ve lezzetli.,Olumlu
"Çok yavaş geldi, lavaşı biraz daha dursa eriyecekti bildiğin. Servisi güzeldi.",Notr
Her zaman ki gibi herşey tam ama bu boyut meselesi 70 cm yerine gine 45 cm.,Olumlu
Birazda iyi olurdu.,Olumlu
